actual	predicted	count	x	y	strategy	metric	direction	threshold
TASK07_CON38	TASK07_CON36	0	36	34	svi	spearman	posneg	5
TASK07_CON38	TASK07_CON37	0	36	35	svi	spearman	posneg	5
TASK07_CON38	TASK07_CON38	0	36	36	svi	spearman	posneg	5
TASK07_CON38	TASK07_CON39	60	36	37	svi	spearman	posneg	5
TASK07_CON38	TASK07_CON40	0	36	38	svi	spearman	posneg	5
TASK07_CON38	TASK07_CON41	0	36	39	svi	spearman	posneg	5
TASK07_CON38	TASK07_CON45	0	36	40	svi	spearman	posneg	5
TASK07_CON38	TASK07_CON46	0	36	41	svi	spearman	posneg	5
TASK07_CON38	TASK07_CON47	0	36	42	svi	spearman	posneg	5
TASK07_CON38	TASK07_CON48	0	36	43	svi	spearman	posneg	5
TASK07_CON38	TASK07_CON49	0	36	44	svi	spearman	posneg	5
TASK07_CON38	TASK07_CON50	0	36	45	svi	spearman	posneg	5
TASK07_CON38	TASK07_CON51	0	36	46	svi	spearman	posneg	5
TASK07_CON38	TASK07_CON52	0	36	47	svi	spearman	posneg	5
TASK07_CON39	TASK01_CON07	0	37	1	svi	spearman	posneg	5
TASK07_CON39	TASK01_CON08	0	37	2	svi	spearman	posneg	5
TASK07_CON39	TASK01_CON09	0	37	3	svi	spearman	posneg	5
TASK07_CON39	TASK02_CON25	0	37	4	svi	spearman	posneg	5
TASK07_CON39	TASK02_CON26	0	37	5	svi	spearman	posneg	5
TASK07_CON39	TASK02_CON27	0	37	6	svi	spearman	posneg	5
TASK07_CON39	TASK03_CON19	0	37	7	svi	spearman	posneg	5
TASK07_CON39	TASK03_CON20	0	37	8	svi	spearman	posneg	5
TASK07_CON39	TASK03_CON22	0	37	9	svi	spearman	posneg	5
TASK07_CON39	TASK04_CON61	0	37	10	svi	spearman	posneg	5
TASK07_CON39	TASK04_CON62	0	37	11	svi	spearman	posneg	5
TASK07_CON39	TASK04_CON63	0	37	12	svi	spearman	posneg	5
TASK07_CON39	TASK04_CON64	0	37	13	svi	spearman	posneg	5
TASK07_CON39	TASK04_CON65	0	37	14	svi	spearman	posneg	5
TASK07_CON39	TASK04_CON66	0	37	15	svi	spearman	posneg	5
TASK07_CON39	TASK04_CON67	0	37	16	svi	spearman	posneg	5
TASK07_CON39	TASK04_CON68	0	37	17	svi	spearman	posneg	5
TASK07_CON39	TASK04_CON69	0	37	18	svi	spearman	posneg	5
TASK07_CON39	TASK04_CON70	0	37	19	svi	spearman	posneg	5
TASK07_CON39	TASK04_CON71	0	37	20	svi	spearman	posneg	5
TASK07_CON39	TASK04_CON72	0	37	21	svi	spearman	posneg	5
TASK07_CON39	TASK04_CON73	0	37	22	svi	spearman	posneg	5
TASK07_CON39	TASK05_CON13	25	37	23	svi	spearman	posneg	5
TASK07_CON39	TASK05_CON14	171	37	24	svi	spearman	posneg	5
TASK07_CON39	TASK05_CON15	0	37	25	svi	spearman	posneg	5
TASK07_CON39	TASK06_CON01	0	37	26	svi	spearman	posneg	5
TASK07_CON39	TASK06_CON02	0	37	27	svi	spearman	posneg	5
TASK07_CON39	TASK06_CON06	0	37	28	svi	spearman	posneg	5
TASK07_CON39	TASK07_CON31	0	37	29	svi	spearman	posneg	5
TASK07_CON39	TASK07_CON32	0	37	30	svi	spearman	posneg	5
TASK07_CON39	TASK07_CON33	0	37	31	svi	spearman	posneg	5
TASK07_CON39	TASK07_CON34	0	37	32	svi	spearman	posneg	5
TASK07_CON39	TASK07_CON35	0	37	33	svi	spearman	posneg	5
TASK07_CON39	TASK07_CON36	0	37	34	svi	spearman	posneg	5
TASK07_CON39	TASK07_CON37	0	37	35	svi	spearman	posneg	5
TASK07_CON39	TASK07_CON38	0	37	36	svi	spearman	posneg	5
TASK07_CON39	TASK07_CON39	304	37	37	svi	spearman	posneg	5
TASK07_CON39	TASK07_CON40	0	37	38	svi	spearman	posneg	5
TASK07_CON39	TASK07_CON41	0	37	39	svi	spearman	posneg	5
TASK07_CON39	TASK07_CON45	0	37	40	svi	spearman	posneg	5
TASK07_CON39	TASK07_CON46	0	37	41	svi	spearman	posneg	5
TASK07_CON39	TASK07_CON47	0	37	42	svi	spearman	posneg	5
TASK07_CON39	TASK07_CON48	0	37	43	svi	spearman	posneg	5
TASK07_CON39	TASK07_CON49	0	37	44	svi	spearman	posneg	5
TASK07_CON39	TASK07_CON50	0	37	45	svi	spearman	posneg	5
TASK07_CON39	TASK07_CON51	0	37	46	svi	spearman	posneg	5
TASK07_CON39	TASK07_CON52	0	37	47	svi	spearman	posneg	5
TASK07_CON40	TASK01_CON07	0	38	1	svi	spearman	posneg	5
TASK07_CON40	TASK01_CON08	0	38	2	svi	spearman	posneg	5
TASK07_CON40	TASK01_CON09	0	38	3	svi	spearman	posneg	5
TASK07_CON40	TASK02_CON25	0	38	4	svi	spearman	posneg	5
TASK07_CON40	TASK02_CON26	0	38	5	svi	spearman	posneg	5
TASK07_CON40	TASK02_CON27	0	38	6	svi	spearman	posneg	5
TASK07_CON40	TASK03_CON19	0	38	7	svi	spearman	posneg	5
TASK07_CON40	TASK03_CON20	0	38	8	svi	spearman	posneg	5
