actual	predicted	count	x	y	strategy	metric	direction	threshold
TASK03_CON19	TASK04_CON64	12	7	13	cca	spearman	posneg	9
TASK03_CON19	TASK04_CON65	11	7	14	cca	spearman	posneg	9
TASK03_CON19	TASK04_CON66	2	7	15	cca	spearman	posneg	9
TASK03_CON19	TASK04_CON67	0	7	16	cca	spearman	posneg	9
TASK03_CON19	TASK04_CON68	24	7	17	cca	spearman	posneg	9
TASK03_CON19	TASK04_CON69	13	7	18	cca	spearman	posneg	9
TASK03_CON19	TASK04_CON70	14	7	19	cca	spearman	posneg	9
TASK03_CON19	TASK04_CON71	7	7	20	cca	spearman	posneg	9
TASK03_CON19	TASK04_CON72	20	7	21	cca	spearman	posneg	9
TASK03_CON19	TASK04_CON73	1	7	22	cca	spearman	posneg	9
TASK03_CON19	TASK05_CON13	2	7	23	cca	spearman	posneg	9
TASK03_CON19	TASK05_CON14	4	7	24	cca	spearman	posneg	9
TASK03_CON19	TASK05_CON15	0	7	25	cca	spearman	posneg	9
TASK03_CON19	TASK06_CON01	17	7	26	cca	spearman	posneg	9
TASK03_CON19	TASK06_CON02	1	7	27	cca	spearman	posneg	9
TASK03_CON19	TASK06_CON06	0	7	28	cca	spearman	posneg	9
TASK03_CON19	TASK07_CON31	18	7	29	cca	spearman	posneg	9
TASK03_CON19	TASK07_CON32	18	7	30	cca	spearman	posneg	9
TASK03_CON19	TASK07_CON33	7	7	31	cca	spearman	posneg	9
TASK03_CON19	TASK07_CON34	23	7	32	cca	spearman	posneg	9
TASK03_CON19	TASK07_CON35	17	7	33	cca	spearman	posneg	9
TASK03_CON19	TASK07_CON36	16	7	34	cca	spearman	posneg	9
TASK03_CON19	TASK07_CON37	6	7	35	cca	spearman	posneg	9
TASK03_CON19	TASK07_CON38	12	7	36	cca	spearman	posneg	9
TASK03_CON19	TASK07_CON39	2	7	37	cca	spearman	posneg	9
TASK03_CON19	TASK07_CON40	8	7	38	cca	spearman	posneg	9
TASK03_CON19	TASK07_CON41	0	7	39	cca	spearman	posneg	9
TASK03_CON19	TASK07_CON45	9	7	40	cca	spearman	posneg	9
TASK03_CON19	TASK07_CON46	16	7	41	cca	spearman	posneg	9
TASK03_CON19	TASK07_CON47	2	7	42	cca	spearman	posneg	9
TASK03_CON19	TASK07_CON48	2	7	43	cca	spearman	posneg	9
TASK03_CON19	TASK07_CON49	0	7	44	cca	spearman	posneg	9
TASK03_CON19	TASK07_CON50	9	7	45	cca	spearman	posneg	9
TASK03_CON19	TASK07_CON51	10	7	46	cca	spearman	posneg	9
TASK03_CON19	TASK07_CON52	0	7	47	cca	spearman	posneg	9
TASK03_CON20	TASK01_CON07	22	8	1	cca	spearman	posneg	9
TASK03_CON20	TASK01_CON08	17	8	2	cca	spearman	posneg	9
TASK03_CON20	TASK01_CON09	25	8	3	cca	spearman	posneg	9
TASK03_CON20	TASK02_CON25	19	8	4	cca	spearman	posneg	9
TASK03_CON20	TASK02_CON26	21	8	5	cca	spearman	posneg	9
TASK03_CON20	TASK02_CON27	0	8	6	cca	spearman	posneg	9
TASK03_CON20	TASK03_CON19	6	8	7	cca	spearman	posneg	9
TASK03_CON20	TASK03_CON20	6	8	8	cca	spearman	posneg	9
TASK03_CON20	TASK03_CON22	48	8	9	cca	spearman	posneg	9
TASK03_CON20	TASK04_CON61	23	8	10	cca	spearman	posneg	9
TASK03_CON20	TASK04_CON62	17	8	11	cca	spearman	posneg	9
TASK03_CON20	TASK04_CON63	18	8	12	cca	spearman	posneg	9
TASK03_CON20	TASK04_CON64	7	8	13	cca	spearman	posneg	9
TASK03_CON20	TASK04_CON65	13	8	14	cca	spearman	posneg	9
TASK03_CON20	TASK04_CON66	1	8	15	cca	spearman	posneg	9
TASK03_CON20	TASK04_CON67	2	8	16	cca	spearman	posneg	9
TASK03_CON20	TASK04_CON68	18	8	17	cca	spearman	posneg	9
TASK03_CON20	TASK04_CON69	14	8	18	cca	spearman	posneg	9
TASK03_CON20	TASK04_CON70	9	8	19	cca	spearman	posneg	9
TASK03_CON20	TASK04_CON71	9	8	20	cca	spearman	posneg	9
TASK03_CON20	TASK04_CON72	15	8	21	cca	spearman	posneg	9
TASK03_CON20	TASK04_CON73	0	8	22	cca	spearman	posneg	9
TASK03_CON20	TASK05_CON13	2	8	23	cca	spearman	posneg	9
TASK03_CON20	TASK05_CON14	3	8	24	cca	spearman	posneg	9
TASK03_CON20	TASK05_CON15	0	8	25	cca	spearman	posneg	9
TASK03_CON20	TASK06_CON01	15	8	26	cca	spearman	posneg	9
TASK03_CON20	TASK06_CON02	2	8	27	cca	spearman	posneg	9
TASK03_CON20	TASK06_CON06	0	8	28	cca	spearman	posneg	9
TASK03_CON20	TASK07_CON31	17	8	29	cca	spearman	posneg	9
TASK03_CON20	TASK07_CON32	17	8	30	cca	spearman	posneg	9
TASK03_CON20	TASK07_CON33	5	8	31	cca	spearman	posneg	9
TASK03_CON20	TASK07_CON34	19	8	32	cca	spearman	posneg	9
